City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Padang,ID,4/24/21 19:34,-0.9492,100.3543,76.55,87,68,2.53
73,Victoria,HK,4/24/21 19:33,22.2855,114.1577,77,87,77,1.01
74,Esperance,AU,4/24/21 19:34,-33.8667,121.9,57.2,77,31,13.8
75,Pitimbu,BR,4/24/21 19:34,-7.4706,-34.8086,82.4,74,20,8.05
76,Neyshabur,IR,4/24/21 19:32,36.2133,58.7958,67.19,34,93,4.56
77,Zaranj,AF,4/24/21 19:34,30.9667,61.8833,78.8,15,0,18.41
78,Mataura,NZ,4/24/21 19:34,-46.1927,168.8643,46.99,91,92,5.01
79,Wufeng,CN,4/24/21 19:34,27.45,104.8333,56.3,95,100,3.91
80,Beyneu,KZ,4/24/21 19:34,45.3167,55.2,61.93,40,100,4.43
81,New Norfolk,AU,4/24/21 19:34,-42.7826,147.0587,50,85,99,3
82,Sironj,IN,4/24/21 19:35,24.1,77.7,83.57,8,100,6.69
83,Okha,RU,4/24/21 19:35,53.5739,142.9478,22.15,85,82,10.36
84,Nizhniy Tsasuchey,RU,4/24/21 19:35,50.5167,115.1333,41.54,17,100,6.35
85,Upernavik,GL,4/24/21 19:35,72.7868,-56.1549,34.36,85,11,6.11
86,Bollnas,SE,4/24/21 19:35,61.3482,16.3946,37,41,100,1.99
87,Rajpipla,IN,4/24/21 19:35,21.8667,73.5,85.69,44,93,2.01
88,Port Elizabeth,ZA,4/24/21 19:32,-33.918,25.5701,57.2,100,0,8.05
89,Barrow,US,4/24/21 19:30,71.2906,-156.7887,21.2,93,1,3.44
90,Rawson,AR,4/24/21 19:34,-43.3002,-65.1023,60.67,45,22,0.6
91,Chokurdakh,RU,4/24/21 19:34,70.6333,147.9167,-10.17,95,5,4.85
92,Sovetskiy,RU,4/24/21 19:35,61.3614,63.5842,42.57,93,100,3.69
93,Nome,US,4/24/21 19:35,64.5011,-165.4064,37.99,69,1,1.9
94,Alta Floresta,BR,4/24/21 19:35,-9.8756,-56.0861,86,66,75,4.61
95,Muisne,EC,4/24/21 19:35,0.6,-80.0333,86,79,20,4.61
96,Qaanaaq,GL,4/24/21 19:35,77.484,-69.3632,27.75,71,85,6.58
97,Lubango,AO,4/24/21 19:35,-14.9172,13.4925,63.73,62,86,2.17
98,Sao Felix Do Xingu,BR,4/24/21 19:33,-6.6447,-51.995,82.54,81,97,1.28
99,Tautira,PF,4/24/21 19:35,-17.7333,-149.15,84.2,65,75,9.22
100,Altagracia De Orituco,VE,4/24/21 19:35,9.8601,-66.3814,91.11,39,85,8.23
101,Araouane,ML,4/24/21 19:35,18.9048,-3.5265,92.82,10,61,5.68
102,Kodiak,US,4/24/21 19:35,57.79,-152.4072,44.6,76,90,8.05
103,Panama City,PA,4/24/21 19:30,8.9936,-79.5197,89.6,62,40,11.5
104,Sabang,ID,4/24/21 19:35,5.8933,95.3214,82.69,73,100,16.08
105,Georgetown,MY,4/24/21 19:35,5.4112,100.3354,82,89,40,2.3
106,Turtas,RU,4/24/21 19:35,58.9417,69.1325,43.34,55,100,4.99
107,Pemangkat,ID,4/24/21 19:35,1.1667,108.9667,78.55,84,69,5.17
108,Pecos,US,4/24/21 19:35,31.4229,-103.4932,75.2,20,1,4.05
109,Baykit,RU,4/24/21 19:35,61.67,96.37,32.67,96,100,2.51
110,Dingalan,PH,4/24/21 19:35,15.3897,121.3929,75.09,88,16,1.95
111,Hithadhoo,MV,4/24/21 19:35,-0.6,73.0833,83.16,69,15,7.31
112,Sao Filipe,CV,4/24/21 19:35,14.8961,-24.4956,72.34,75,38,10.51
113,Indore,IN,4/24/21 19:35,22.7179,75.8333,82.4,11,40,9.22
114,Sazonovo,RU,4/24/21 19:35,59.0919,35.2268,36.52,96,100,8.61
115,Vardo,NO,4/24/21 19:35,70.3705,31.1107,34.02,84,100,22.21
116,Pundaguitan,PH,4/24/21 19:33,6.3711,126.1689,82.47,75,100,14.05
117,Plouzane,FR,4/24/21 19:35,48.3833,-4.6167,60.8,55,0,16.11
118,Shenjiamen,CN,4/24/21 19:35,29.9576,122.298,61.02,88,100,6.93
119,Faribault,US,4/24/21 19:35,44.295,-93.2688,41,75,90,13.8
120,Kahului,US,4/24/21 19:35,20.8947,-156.47,75.2,83,40,17.27
121,Castro,BR,4/24/21 19:35,-24.7911,-50.0119,70.23,64,81,1.77
122,Hasaki,JP,4/24/21 19:35,35.7333,140.8333,48.2,93,20,4.61
123,Faanui,PF,4/24/21 19:35,-16.4833,-151.75,80.01,74,100,9.78
124,Nahuatzen,MX,4/24/21 19:35,19.7,-101.8333,80.01,27,75,11.5
125,Axim,GH,4/24/21 19:33,4.8699,-2.2405,81.54,83,76,9.44
126,Yakeshi,CN,4/24/21 19:35,49.2833,120.7333,36.75,38,14,2.06
127,Shimoda,JP,4/24/21 19:33,34.6667,138.95,51.01,78,17,1.99
128,Adrar,MR,4/24/21 19:33,20.5022,-10.0711,88.14,11,13,8.95
129,Mount Isa,AU,4/24/21 19:31,-20.7333,139.5,68,34,2,5.75
130,Kavaratti,IN,4/24/21 19:35,10.5669,72.642,83.93,75,27,7.72
131,Sola,VU,4/24/21 19:35,-13.8833,167.55,82.65,76,100,17.94
132,Ulladulla,AU,4/24/21 19:35,-35.35,150.4667,53.6,71,90,8.05
133,Saskylakh,RU,4/24/21 19:34,71.9167,114.0833,30.92,94,97,11.72
134,Pisco,PE,4/24/21 19:32,-13.7,-76.2167,73.4,68,0,20.71
135,Mouzouras,GR,4/24/21 19:35,35.5333,24.15,60.8,88,75,18.41
136,Belaya Gora,RU,4/24/21 19:35,68.5333,146.4167,-0.47,100,100,5.17
137,Bandarbeyla,SO,4/24/21 19:35,9.4942,50.8122,83.41,76,74,7.96
138,Najran,SA,4/24/21 19:35,17.4924,44.1277,82.4,24,75,11.5
139,Harindanga,IN,4/24/21 19:35,22.0383,88.3214,84.2,61,20,8.05
140,Jinchang,CN,4/24/21 19:35,38.4953,102.1739,47.19,44,100,0.58
141,Mahebourg,MU,4/24/21 19:35,-20.4081,57.7,78.8,83,75,17.27
142,Ouadda,CF,4/24/21 19:35,8.0777,22.4007,70.99,86,99,3.56
143,Provideniya,RU,4/24/21 19:34,64.3833,-173.3,37.02,80,99,0.54
144,Noyabrsk,RU,4/24/21 19:35,63.1994,75.4507,33.49,99,100,3.96
145,Flinders,AU,4/24/21 19:35,-34.5833,150.8552,52,80,0,1.01
146,Clyde River,CA,4/24/21 19:34,70.4692,-68.5914,17.6,100,75,9.22
147,Chuy,UY,4/24/21 19:34,-33.6971,-53.4616,69.87,78,100,4.9
148,Thompson,CA,4/24/21 19:35,55.7435,-97.8558,24.8,54,75,5.75
149,Coffs Harbour,AU,4/24/21 19:32,-30.3,153.1333,52,93,0,4.61
150,Shakawe,BW,4/24/21 19:35,-18.3667,21.85,71.83,33,95,2.75
151,Harlingen,US,4/24/21 19:32,26.1906,-97.6961,97,23,1,10.36
152,Torbay,CA,4/24/21 19:33,47.6666,-52.7314,53.6,35,40,28.77
153,Bengkulu,ID,4/24/21 19:34,-3.8004,102.2655,75.27,88,100,3.51
154,Amalapuram,IN,4/24/21 19:35,16.5833,82.0167,78.87,87,0,2.15
155,Khani,GE,4/24/21 19:34,41.9563,42.9566,50,93,0,2.3
156,Te Anau,NZ,4/24/21 19:34,-45.4167,167.7167,48.9,92,100,6.44
157,Rio Cuarto,AR,4/24/21 19:35,-33.1307,-64.3499,69.8,49,20,13.8
158,Aksarka,RU,4/24/21 19:35,66.5606,67.7975,31.96,89,100,6.11
159,Marseille,FR,4/24/21 19:35,43.3333,5.5,63,61,54,1.99
160,Lompoc,US,4/24/21 19:32,34.6391,-120.4579,61,67,85,8.05
161,Butaritari,KI,4/24/21 19:35,3.0707,172.7902,82.56,76,39,12.26
162,Kaitangata,NZ,4/24/21 19:35,-46.2817,169.8464,46.99,86,28,4
163,Ilulissat,GL,4/24/21 19:35,69.2167,-51.1,41,60,40,6.91
164,Leningradskiy,RU,4/24/21 19:35,69.3833,178.4167,25.21,87,100,4.81
165,Ucluelet,CA,4/24/21 19:35,48.9329,-125.5528,48.99,93,90,9.22
166,Necochea,AR,4/24/21 19:35,-38.5473,-58.7368,61,78,63,11.01
167,Veinticinco De Mayo,AR,4/24/21 19:35,-35.4323,-60.1727,70,39,0,5.99
168,Norman Wells,CA,4/24/21 19:34,65.282,-126.8329,35.6,44,75,10.36
169,Oranjestad,AW,4/24/21 19:31,12.524,-70.027,86,62,20,24.16
170,Estelle,US,4/24/21 19:35,29.8458,-90.1067,86,78,75,17.27
171,Toktogul,KG,4/24/21 19:32,41.8708,72.9402,52.29,56,5,3.67
172,Torit,SS,4/24/21 19:35,4.4133,32.5678,74.14,76,98,3.62
173,Geraldton,AU,4/24/21 19:35,-28.7667,114.6,59,94,57,2.3
174,Carnarvon,AU,4/24/21 19:35,-24.8667,113.6333,64.4,82,0,9.22
175,Nikolskoye,RU,4/24/21 19:35,59.7035,30.7861,39.2,70,20,4.47
176,Jacareacanga,BR,4/24/21 19:35,-6.2222,-57.7528,84.83,73,100,1.9
