City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Atambua,ID,2021-04-25 18:37:40,-9.1061,124.8925,69.22,82,18,5.08,few clouds
60,Jamestown,US,2021-04-25 18:37:40,42.097,-79.2353,46.99,87,90,16.11,overcast clouds
61,New Norfolk,AU,2021-04-25 18:35:47,-42.7826,147.0587,57.0,81,92,3.0,overcast clouds
62,Narsaq,GL,2021-04-25 18:37:41,60.9167,-46.05,53.6,26,75,23.02,broken clouds
63,Ejido,VE,2021-04-25 18:37:41,8.5514,-71.2375,79.2,70,99,5.06,overcast clouds
64,Tessalit,ML,2021-04-25 18:37:42,20.1986,1.0114,94.57,6,0,7.23,clear sky
65,Hobyo,SO,2021-04-25 18:32:57,5.3505,48.5268,84.38,63,26,11.25,scattered clouds
66,Upernavik,GL,2021-04-25 18:37:42,72.7868,-56.1549,36.34,84,0,1.39,clear sky
67,College,US,2021-04-25 18:34:57,64.8569,-147.8028,48.99,42,1,3.44,clear sky
68,Vardo,NO,2021-04-25 18:34:19,70.3705,31.1107,33.8,69,40,14.97,scattered clouds
69,Shitanjing,CN,2021-04-25 18:37:43,39.2342,106.3439,47.32,60,10,14.58,clear sky
70,Vao,NC,2021-04-25 18:37:44,-22.6667,167.4833,72.86,79,40,12.03,scattered clouds
71,Abbeville,FR,2021-04-25 18:35:38,50.1,1.8333,51.8,57,0,11.5,clear sky
72,Arraial Do Cabo,BR,2021-04-25 18:37:44,-22.9661,-42.0278,82.4,65,0,10.36,clear sky
73,Paamiut,GL,2021-04-25 18:37:23,61.994,-49.6678,37.38,92,100,2.57,overcast clouds
74,Tupik,RU,2021-04-25 18:37:45,54.4253,119.9327,38.35,78,100,2.57,overcast clouds
75,Agadir,MA,2021-04-25 18:37:45,30.4202,-9.5982,69.8,56,40,17.27,scattered clouds
76,Awjilah,LY,2021-04-25 18:37:46,29.1081,21.2869,68.04,55,0,17.34,clear sky
77,Portland,US,2021-04-25 18:33:20,45.5234,-122.6762,55.99,62,75,4.61,broken clouds
78,Simao,CN,2021-04-25 18:37:46,22.7886,100.9748,68.54,60,96,2.8,overcast clouds
79,Tiksi,RU,2021-04-25 18:36:40,71.6872,128.8694,21.96,97,100,2.57,light snow
80,Broken Hill,AU,2021-04-25 18:32:47,-31.95,141.4333,51.8,62,0,7.63,clear sky
81,Shubarkuduk,KZ,2021-04-25 18:37:47,49.1447,56.4872,49.91,81,100,2.86,overcast clouds
82,Yellowknife,CA,2021-04-25 18:37:48,62.456,-114.3525,10.99,52,75,10.36,broken clouds
83,Bambous Virieux,MU,2021-04-25 18:37:48,-20.3428,57.7575,78.01,88,75,12.66,light rain
84,Coquimbo,CL,2021-04-25 18:33:01,-29.9533,-71.3436,62.6,72,20,11.5,few clouds
